"station","year","target_depth_m","max_ammonia","max_no2_no3","max_po4","max_tchl","max_urea","mean_ammonia","mean_no2_no3","mean_po4","mean_tchl","mean_urea"
"ABUR",2006,1,1232,1484,1707,2.4199,NA,529.454545454545,611.5,639.583333333333,1.61028571428571,NA
"ABUR",2006,5,1560,1506,1711,7.1539,NA,584.888888888889,700.875,777.166666666667,2.89347142857143,NA
"ABUR",2007,1,1634,1611,1895,6.1656,NA,954.1,646.625,911,3.20425,NA
"ABUR",2007,5,1646,1584,2066,17.9708,NA,974.333333333333,647.333333333333,1102,4.61758333333333,NA
"ABUR",2008,1,1550,1754,2084,14.0561,NA,1037.28571428571,824.1,1167,4.11186666666667,NA
"ABUR",2008,5,1608,1751,2080,12.7752,NA,1064.22222222222,933.727272727273,1352.91666666667,4.22374166666667,NA
"ABUR",2009,1,1665,1620,1905,10.4787,NA,1099.5,984.888888888889,1151,3.37753333333333,NA
"ABUR",2009,5,1624,1645,1931,8.2055,NA,1165.91666666667,1108.4,1351.75,3.83288333333333,NA
"ABUR",2010,1,1611,1651,2023,10.2204,NA,1285.81818181818,1006.3,1259.33333333333,3.609025,NA
"ABUR",2010,5,1635,1657,2045,10.1657,NA,1262.25,918.916666666667,1345.58333333333,4.00345833333333,NA
"ABUR",2011,1,1448,1664,2065,8.7264,NA,610.909090909091,878.444444444444,1092.81818181818,3.33275833333333,NA
"ABUR",2011,5,1384,1665,2061,6.046,NA,786.181818181818,1118.5,1187,3.60949166666667,NA
"ABUR",2012,1,1134,1613,1996,3.9986,NA,862,664,1141.625,1.52409166666667,NA
"ABUR",2012,5,1372,1676,2027,5.766,NA,890.909090909091,750.6,1253.95833333333,2.338125,NA
"ABUR",2013,1,1323,1051,1359,6.3603,NA,794.375,638.333333333333,826.25,1.9006,NA
"ABUR",2013,5,1333,1098,1361,8.4293,NA,682.1,603,782.111111111111,2.3428,NA
"ABUR",2014,1,848,1739,1865,3.774,NA,365.7,678,674.727272727273,1.38043333333333,NA
"ABUR",2014,5,807,1143,1923,5.7185,NA,489.545454545455,587.666666666667,666.909090909091,1.83639166666667,NA
"ABUR",2015,1,593,1050,999,10.7213,NA,261.125,588.5,604.166666666667,2.04649166666667,NA
"ABUR",2015,5,993,1538,1372,15.0433,NA,449.375,744,607.5,2.84736666666667,NA
"ABUR",2016,1,1523,1363,1978,3.9074,261,436.166666666667,610.8,880.916666666667,1.984375,217.875
"ABUR",2016,5,1651,1373,1993,5.4905,229,706.333333333333,465.777777777778,958.083333333333,2.57411666666667,156.625
"ABUR",2017,1,1417,988,1645,6.2946,251,643.75,826,540.5,2.57436666666667,116.083333333333
"ABUR",2017,5,1284,1068,1645,7.664,233,804.75,690.75,567.75,3.17196666666667,116.333333333333
"ABUR",2018,1,791,1511,1776,5.9272,183,484.333333333333,871,915.5,1.97130833333333,98.8333333333333
"ABUR",2018,5,866,1628,1909,6.0998,172,588.333333333333,924.666666666667,884.1,2.189475,39.75
"BULL",2001,1,NA,1356,2018,2.5139,NA,NA,1252.5,1185.33333333333,1.49426666666667,NA
"BULL",2001,5,NA,1309,2029,3.8942,NA,NA,1232,1175.33333333333,1.82383333333333,NA
"BULL",2001,8,NA,25,178,3.385,NA,NA,25,178,3.385,NA
"BULL",2001,10,NA,1325,2044,1.5076,NA,NA,1253.5,1841.5,1.2888,NA
"CARP",2000,1,NA,494,465,2.3683,NA,NA,430.5,352,1.77785,NA
"CARP",2000,5,NA,512,590,1.8069,NA,NA,507.5,585,1.72625,NA
"CARP",2001,1,NA,1594,1583,8.3221,NA,NA,810.333333333333,803.5,2.726,NA
"CARP",2001,5,NA,1499,1457,4.3313,NA,NA,530.727272727273,690.75,1.6791,NA
