"year","month","date","site","transect","survey","richness","menhinick.richness","abundance","div.simpson","div.shannon"
2001,8,"2001-08-07","MOHK",1,"CRYPTIC FISH",1,0.707106781186547,2,0,0
2001,8,"2001-08-07","MOHK",1,"FISH",7,1.4,25,0.8,1.75459564322729
2001,8,"2001-08-07","MOHK",2,"CRYPTIC FISH",1,1,1,0,0
2001,8,"2001-08-07","MOHK",2,"FISH",6,1.34164078649987,20,0.76,1.56573065299613
2001,8,"2001-08-08","CARP",3,"FISH",4,0.816496580927726,24,0.614583333333333,1.10971733422928
2001,8,"2001-08-08","CARP",6,"FISH",1,0.707106781186547,2,0,0
2001,8,"2001-08-09","NAPL",1,"CRYPTIC FISH",2,0.577350269189626,12,0.277777777777778,0.450561208866305
2001,8,"2001-08-09","NAPL",2,"CRYPTIC FISH",2,0.816496580927726,6,0.5,0.693147180559945
2001,8,"2001-08-09","NAPL",3,"CRYPTIC FISH",2,0.755928946018454,7,0.408163265306122,0.598269588585257
2001,8,"2001-08-09","NAPL",4,"CRYPTIC FISH",1,0.577350269189626,3,0,0
2001,8,"2001-08-14","GOLB",1,"FISH",6,1.73205080756888,12,0.777777777777778,1.63263092715435
2001,8,"2001-08-14","GOLB",2,"CRYPTIC FISH",1,1,1,0,0
2001,8,"2001-08-14","GOLB",2,"FISH",4,1.20604537831105,11,0.545454545454545,1.03356205420682
2001,8,"2001-08-14","IVEE",1,"CRYPTIC FISH",1,1,1,0,0
2001,8,"2001-08-14","IVEE",1,"FISH",5,1.44337567297406,12,0.777777777777778,1.54542290319359
2001,8,"2001-08-14","IVEE",2,"CRYPTIC FISH",1,1,1,0,0
2001,8,"2001-08-14","IVEE",2,"FISH",2,0.894427190999916,5,0.32,0.500402423538188
2001,8,"2001-08-15","CARP",1,"FISH",4,0.624695047554424,41,0.55086258179655,0.95958498276882
2001,8,"2001-08-15","CARP",2,"FISH",2,1.41421356237309,2,0.5,0.693147180559945
2001,8,"2001-08-15","CARP",5,"CRYPTIC FISH",2,1.15470053837925,3,0.444444444444444,0.636514168294813
2001,8,"2001-08-15","CARP",5,"FISH",2,1.15470053837925,3,0.444444444444444,0.636514168294813
2001,8,"2001-08-15","CARP",7,"FISH",1,1,1,0,0
2001,8,"2001-08-15","CARP",8,"CRYPTIC FISH",1,0.577350269189626,3,0,0
2001,8,"2001-08-16","NAPL",1,"FISH",9,1.52127765851133,35,0.835918367346939,1.95293814532532
2001,8,"2001-08-16","NAPL",2,"FISH",9,1.32697760539407,46,0.736294896030246,1.6485821150022
2001,8,"2001-08-16","NAPL",3,"FISH",5,1,25,0.4032,0.849268726061533
2001,8,"2001-08-16","NAPL",4,"FISH",7,1.69774937525433,17,0.802768166089965,1.75824285971655
2001,8,"2001-08-16","NAPL",5,"CRYPTIC FISH",2,0.447213595499958,20,0.42,0.610864302054894
2001,8,"2001-08-16","NAPL",5,"FISH",7,1.09321633322024,41,0.696014277215943,1.42131785655613
2001,8,"2001-08-16","NAPL",6,"CRYPTIC FISH",2,0.35921060405355,31,0.41207075962539,0.602440263520342
2001,8,"2001-08-16","NAPL",6,"FISH",3,0.480384461415261,39,0.144641683103221,0.320152001372214
2001,8,"2001-08-16","NAPL",7,"CRYPTIC FISH",2,0.384900179459751,27,0.0713305898491086,0.158410570131791
2001,8,"2001-08-16","NAPL",7,"FISH",6,1.80906806746658,11,0.826446280991736,1.76776147228933
2001,8,"2001-08-16","NAPL",8,"CRYPTIC FISH",2,0.377964473009227,28,0.408163265306122,0.598269588585257
2001,8,"2001-08-16","NAPL",8,"FISH",7,1.56524758424985,20,0.77,1.64341771979318
2001,8,"2001-08-17","BULL",1,"FISH",3,0.904534033733291,11,0.56198347107438,0.916464885539471
2001,8,"2001-08-17","BULL",6,"FISH",3,1.34164078649987,5,0.64,1.05492016798614
2001,8,"2001-08-21","AQUE",1,"FISH",10,1.45864991497895,47,0.755092802172929,1.76727646486244
2001,8,"2001-08-21","AQUE",2,"CRYPTIC FISH",2,0.707106781186547,8,0.46875,0.661563238157982
2001,8,"2001-08-21","AQUE",2,"FISH",9,1.56669890360128,33,0.806244260789715,1.85104554457077
2001,8,"2001-08-21","AQUE",3,"CRYPTIC FISH",3,1.73205080756888,3,0.666666666666667,1.09861228866811
2001,8,"2001-08-21","AQUE",3,"FISH",7,0.989949493661166,50,0.7384,1.50827784613673
2001,8,"2001-08-21","AQUE",4,"CRYPTIC FISH",1,0.5,4,0,0
2001,8,"2001-08-21","AQUE",4,"FISH",7,1.3228756555323,28,0.811224489795918,1.76207954643921
2001,8,"2001-08-21","AQUE",5,"CRYPTIC FISH",1,0.333333333333333,9,0,0
2001,8,"2001-08-21","AQUE",5,"FISH",5,1.50755672288882,11,0.710743801652893,1.41427906512471
2001,8,"2001-08-22","ABUR",1,"CRYPTIC FISH",3,1.13389341902768,7,0.448979591836735,0.796311640173813
2001,8,"2001-08-22","ABUR",1,"FISH",3,1,9,0.493827160493827,0.848685557726417
2001,8,"2001-08-22","ABUR",2,"CRYPTIC FISH",1,1,1,0,0
2001,8,"2001-08-22","ABUR",2,"FISH",2,1.15470053837925,3,0.444444444444444,0.636514168294813
2001,8,"2001-08-27","AHND",1,"CRYPTIC FISH",1,1,1,0,0
2001,8,"2001-08-27","AHND",1,"FISH",6,1.34164078649987,20,0.765,1.57410300173719
2001,8,"2001-08-27","AHND",2,"CRYPTIC FISH",1,0.577350269189626,3,0,0
2001,8,"2001-08-27","AHND",2,"FISH",6,1.455213750218,17,0.775086505190311,1.61106567632297
2001,8,"2001-08-29","BULL",1,"CRYPTIC FISH",1,0.707106781186547,2,0,0
2001,8,"2001-08-29","BULL",3,"CRYPTIC FISH",1,0.577350269189626,3,0,0
2001,8,"2001-08-29","BULL",3,"FISH",8,1.56892908110547,26,0.831360946745562,1.90456937866895
2002,8,"2002-08-13","GOLB",1,"CRYPTIC FISH",1,1,1,0,0
2002,8,"2002-08-13","GOLB",1,"FISH",5,1.50755672288882,11,0.56198347107438,1.15958881430863
2002,8,"2002-08-13","GOLB",2,"CRYPTIC FISH",1,1,1,0,0
2002,8,"2002-08-13","GOLB",2,"FISH",5,1.58113883008419,10,0.74,1.47080847632211
2002,8,"2002-08-13","IVEE",1,"CRYPTIC FISH",1,1,1,0,0
2002,8,"2002-08-13","IVEE",1,"FISH",1,1,1,0,0
2002,8,"2002-08-13","IVEE",2,"FISH",2,1.41421356237309,2,0.5,0.693147180559945
2002,8,"2002-08-14","NAPL",3,"CRYPTIC FISH",2,0.755928946018454,7,0.489795918367347,0.682908104700472
2002,8,"2002-08-14","NAPL",3,"FISH",3,0.514495755427526,34,0.420415224913495,0.746410839231524
2002,8,"2002-08-14","NAPL",4,"CRYPTIC FISH",2,0.408248290463863,24,0.0798611111111109,0.173205206749177
2002,8,"2002-08-14","NAPL",4,"FISH",5,1.88982236504614,7,0.775510204081633,1.5498260458782
2002,8,"2002-08-14","NAPL",5,"CRYPTIC FISH",2,0.342997170285018,34,0.41522491349481,0.605797499372304
2002,8,"2002-08-14","NAPL",5,"FISH",8,1.2977713690461,38,0.785318559556787,1.73117845885282
2002,8,"2002-08-14","NAPL",6,"CRYPTIC FISH",2,0.274721127897378,53,0.200783196867212,0.3531693834438
2002,8,"2002-08-14","NAPL",6,"FISH",3,1,9,0.37037037037037,0.683738905848754
2002,8,"2002-08-15","NAPL",1,"CRYPTIC FISH",2,0.308606699924184,42,0.308390022675737,0.486912709464602
2002,8,"2002-08-15","NAPL",1,"FISH",8,1.6,25,0.7424,1.6420833970455
2002,8,"2002-08-15","NAPL",2,"CRYPTIC FISH",3,0.774596669241483,15,0.417777777777778,0.729871209983116
2002,8,"2002-08-15","NAPL",2,"FISH",12,2.5021729686849,23,0.862003780718336,2.22341310779993
2002,8,"2002-08-15","NAPL",7,"CRYPTIC FISH",2,0.25,64,0.32373046875,0.5047041940481
2002,8,"2002-08-15","NAPL",7,"FISH",10,1.76776695296637,32,0.857421875,2.0985157503717
2002,8,"2002-08-15","NAPL",8,"CRYPTIC FISH",3,0.442325868464691,46,0.435727788279773,0.692817689171894
2002,8,"2002-08-15","NAPL",8,"FISH",9,1.5,36,0.782407407407407,1.81344901942053
2002,8,"2002-08-19","BULL",1,"CRYPTIC FISH",2,1.15470053837925,3,0.444444444444444,0.636514168294813
2002,8,"2002-08-19","BULL",1,"FISH",6,1.06066017177982,32,0.6796875,1.36175946473227
2002,8,"2002-08-19","BULL",3,"CRYPTIC FISH",1,1,1,0,0
2002,8,"2002-08-19","BULL",3,"FISH",4,1.10940039245046,13,0.485207100591716,0.937155853065701
2002,8,"2002-08-19","BULL",6,"CRYPTIC FISH",1,1,1,0,0
2002,8,"2002-08-19","BULL",6,"FISH",5,1.04257207028537,23,0.676748582230624,1.31768830100417
2002,8,"2002-08-20","ABUR",1,"CRYPTIC FISH",1,0.5,4,0,0
2002,8,"2002-08-20","ABUR",1,"FISH",4,1.15470053837925,12,0.583333333333333,1.07513932400537
2002,8,"2002-08-20","ABUR",2,"CRYPTIC FISH",1,1,1,0,0
2002,8,"2002-08-20","ABUR",2,"FISH",1,1,1,0,0
2002,8,"2002-08-20","MOHK",1,"CRYPTIC FISH",1,0.5,4,0,0
2002,8,"2002-08-20","MOHK",1,"FISH",12,1.4884168150705,65,0.676449704142012,1.61684116408344
2002,8,"2002-08-20","MOHK",2,"CRYPTIC FISH",2,1.41421356237309,2,0.5,0.693147180559945
2002,8,"2002-08-20","MOHK",2,"FISH",7,1.3228756555323,28,0.61734693877551,1.31440912687789
2002,8,"2002-08-21","CARP",1,"CRYPTIC FISH",1,1,1,0,0
2002,8,"2002-08-21","CARP",1,"FISH",2,0.894427190999916,5,0.32,0.500402423538188
2002,8,"2002-08-21","CARP",3,"FISH",5,1,25,0.6464,1.24132699401456
2002,8,"2002-08-21","CARP",4,"FISH",1,1,1,0,0
2002,8,"2002-08-21","CARP",5,"CRYPTIC FISH",1,0.707106781186547,2,0,0
2002,8,"2002-08-21","CARP",6,"FISH",1,1,1,0,0
2002,8,"2002-08-21","CARP",7,"FISH",3,0.774596669241483,15,0.24,0.485094091302212
2002,8,"2002-08-21","CARP",8,"FISH",1,0.707106781186547,2,0,0
2002,8,"2002-08-27","AQUE",1,"CRYPTIC FISH",1,0.707106781186547,2,0,0
2002,8,"2002-08-27","AQUE",1,"FISH",2,0.666666666666667,9,0.345679012345679,0.529706199057654
2002,8,"2002-08-27","AQUE",2,"CRYPTIC FISH",3,0.727606875108999,17,0.442906574394464,0.752974682765889
2002,8,"2002-08-27","AQUE",2,"FISH",6,1.54919333848297,15,0.791111111111111,1.65655112669665
2002,8,"2002-08-27","AQUE",3,"CRYPTIC FISH",2,0.632455532033676,10,0.18,0.325082973391448
2002,8,"2002-08-27","AQUE",3,"FISH",5,1.14707866935281,19,0.437673130193906,0.926907559390993
2002,8,"2002-08-27","AQUE",6,"CRYPTIC FISH",2,0.41702882811415,23,0.385633270321361,0.573964491393324
2002,8,"2002-08-27","AQUE",6,"FISH",5,1.33630620956212,14,0.469387755102041,0.994353691762369
2002,8,"2002-08-28","AHND",2,"CRYPTIC FISH",5,1.66666666666667,9,0.765432098765432,1.52295506753132
2002,8,"2002-08-28","AHND",2,"FISH",6,0.840168050416806,51,0.740484429065744,1.49935747737673
2002,8,"2002-08-28","AQUE",4,"CRYPTIC FISH",2,0.755928946018454,7,0.408163265306122,0.598269588585257
2002,8,"2002-08-28","AQUE",4,"FISH",11,1.54030809243081,51,0.835832372164552,2.00321537430652
2002,8,"2002-08-28","AQUE",5,"CRYPTIC FISH",2,1,4,0.5,0.693147180559945
2002,8,"2002-08-28","AQUE",5,"FISH",10,2,25,0.784,1.88874944080643
2002,9,"2002-09-26","AHND",1,"CRYPTIC FISH",2,0.816496580927726,6,0.277777777777778,0.450561208866305
2003,8,"2003-08-11","NAPL",1,"CRYPTIC FISH",2,0.258198889747161,60,0.32,0.500402423538188
2003,8,"2003-08-11","NAPL",1,"FISH",6,1.73205080756888,12,0.75,1.58325845942048
2003,8,"2003-08-11","NAPL",2,"CRYPTIC FISH",2,0.264906471413009,57,0.465373961218837,0.658109987543114
2003,8,"2003-08-11","NAPL",2,"FISH",3,0.904534033733291,11,0.628099173553719,1.03619878481928
2003,8,"2003-08-11","NAPL",3,"CRYPTIC FISH",1,0.156173761888606,41,0,0
2003,8,"2003-08-11","NAPL",3,"FISH",9,1.96396101212393,21,0.802721088435374,1.88065818401878
2003,8,"2003-08-11","NAPL",4,"CRYPTIC FISH",2,1,4,0.5,0.693147180559945
2003,8,"2003-08-11","NAPL",4,"FISH",2,1.41421356237309,2,0.5,0.693147180559945
2003,8,"2003-08-12","NAPL",5,"CRYPTIC FISH",3,0.547722557505166,30,0.38,0.682869018673461
2003,8,"2003-08-12","NAPL",5,"FISH",7,1.3228756555323,28,0.635204081632653,1.40129450718678
2003,8,"2003-08-12","NAPL",6,"CRYPTIC FISH",3,0.457495710997814,43,0.522444564629529,0.787480525359056
2003,8,"2003-08-12","NAPL",6,"FISH",3,1.13389341902768,7,0.571428571428571,0.955699891112534
2003,8,"2003-08-12","NAPL",7,"CRYPTIC FISH",3,0.514495755427526,34,0.491349480968858,0.808269958000182
2003,8,"2003-08-12","NAPL",7,"FISH",4,1.51185789203691,7,0.73469387755102,1.35178399428965
2003,8,"2003-08-12","NAPL",8,"CRYPTIC FISH",3,0.424264068711929,50,0.5496,0.873196644493051
2003,8,"2003-08-12","NAPL",8,"FISH",6,1.1766968108291,26,0.769230769230769,1.59444658414883
2003,8,"2003-08-14","AHND",1,"CRYPTIC FISH",1,0.447213595499958,5,0,0
2003,8,"2003-08-14","AHND",2,"CRYPTIC FISH",1,1,1,0,0
2003,8,"2003-08-14","AHND",2,"FISH",2,1.15470053837925,3,0.444444444444444,0.636514168294813
2003,8,"2003-08-14","BULL",1,"CRYPTIC FISH",2,1.41421356237309,2,0.5,0.693147180559945
2003,8,"2003-08-14","BULL",1,"FISH",1,1,1,0,0
2003,8,"2003-08-14","BULL",3,"CRYPTIC FISH",1,1,1,0,0
2003,8,"2003-08-14","BULL",6,"CRYPTIC FISH",3,1.5,4,0.625,1.03972077083992
2003,8,"2003-08-14","BULL",6,"FISH",1,1,1,0,0
2003,8,"2003-08-21","CARP",4,"CRYPTIC FISH",2,1.41421356237309,2,0.5,0.693147180559945
2003,8,"2003-08-21","CARP",4,"FISH",1,0.707106781186547,2,0,0
2003,8,"2003-08-21","CARP",5,"CRYPTIC FISH",1,0.707106781186547,2,0,0
2003,8,"2003-08-21","CARP",7,"CRYPTIC FISH",2,1,4,0.375,0.562335144618808
2003,8,"2003-08-21","CARP",7,"FISH",2,0.894427190999916,5,0.48,0.673011667009257
2003,8,"2003-08-21","CARP",8,"CRYPTIC FISH",1,1,1,0,0
2003,8,"2003-08-22","CARP",1,"CRYPTIC FISH",1,0.707106781186547,2,0,0
2003,8,"2003-08-22","CARP",1,"FISH",1,1,1,0,0
2003,8,"2003-08-22","CARP",2,"CRYPTIC FISH",1,0.707106781186547,2,0,0
2003,8,"2003-08-22","CARP",3,"CRYPTIC FISH",2,1.41421356237309,2,0.5,0.693147180559945
2003,8,"2003-08-22","CARP",3,"FISH",3,1.22474487139159,6,0.5,0.867563228481461
2003,8,"2003-08-22","CARP",6,"CRYPTIC FISH",3,1.5,4,0.625,1.03972077083992
2003,8,"2003-08-22","CARP",6,"FISH",1,0.707106781186547,2,0,0
2003,8,"2003-08-25","AQUE",1,"CRYPTIC FISH",3,0.707106781186548,18,0.58641975308642,0.958000280088773
