"","station","year","target_depth_m","name","n"
"1","ABUR",2006,1,"ammonia",0.0833333333333333
"2","ABUR",2006,1,"no2_no3",0.5
"3","ABUR",2006,1,"po4",0
"4","ABUR",2006,1,"tchl",0.416666666666667
"5","ABUR",2006,1,"urea",1
"6","ABUR",2006,5,"ammonia",0.25
"7","ABUR",2006,5,"no2_no3",0.333333333333333
"8","ABUR",2006,5,"po4",0
"9","ABUR",2006,5,"tchl",0.416666666666667
"10","ABUR",2006,5,"urea",1
"11","ABUR",2007,1,"ammonia",0.166666666666667
"12","ABUR",2007,1,"no2_no3",0.333333333333333
"13","ABUR",2007,1,"po4",0
"14","ABUR",2007,1,"tchl",0
"15","ABUR",2007,1,"urea",1
"16","ABUR",2007,5,"ammonia",0
"17","ABUR",2007,5,"no2_no3",0.25
"18","ABUR",2007,5,"po4",0
"19","ABUR",2007,5,"tchl",0
"20","ABUR",2007,5,"urea",1
"21","ABUR",2008,1,"ammonia",0.416666666666667
"22","ABUR",2008,1,"no2_no3",0.166666666666667
"23","ABUR",2008,1,"po4",0
"24","ABUR",2008,1,"tchl",0
"25","ABUR",2008,1,"urea",1
"26","ABUR",2008,5,"ammonia",0.25
"27","ABUR",2008,5,"no2_no3",0.0833333333333333
"28","ABUR",2008,5,"po4",0
"29","ABUR",2008,5,"tchl",0
"30","ABUR",2008,5,"urea",1
"31","ABUR",2009,1,"ammonia",0.333333333333333
"32","ABUR",2009,1,"no2_no3",0.25
"33","ABUR",2009,1,"po4",0
"34","ABUR",2009,1,"tchl",0
"35","ABUR",2009,1,"urea",1
"36","ABUR",2009,5,"ammonia",0
"37","ABUR",2009,5,"no2_no3",0.166666666666667
"38","ABUR",2009,5,"po4",0
"39","ABUR",2009,5,"tchl",0
"40","ABUR",2009,5,"urea",1
"41","ABUR",2010,1,"ammonia",0.0833333333333333
"42","ABUR",2010,1,"no2_no3",0.166666666666667
"43","ABUR",2010,1,"po4",0
"44","ABUR",2010,1,"tchl",0
"45","ABUR",2010,1,"urea",1
"46","ABUR",2010,5,"ammonia",0
"47","ABUR",2010,5,"no2_no3",0
"48","ABUR",2010,5,"po4",0
"49","ABUR",2010,5,"tchl",0
"50","ABUR",2010,5,"urea",1
"51","ABUR",2011,1,"ammonia",0.0833333333333333
"52","ABUR",2011,1,"no2_no3",0.25
"53","ABUR",2011,1,"po4",0.0833333333333333
"54","ABUR",2011,1,"tchl",0
"55","ABUR",2011,1,"urea",1
"56","ABUR",2011,5,"ammonia",0.0833333333333333
"57","ABUR",2011,5,"no2_no3",0.333333333333333
"58","ABUR",2011,5,"po4",0.0833333333333333
"59","ABUR",2011,5,"tchl",0
"60","ABUR",2011,5,"urea",1
"61","ABUR",2012,1,"ammonia",0.25
"62","ABUR",2012,1,"no2_no3",0.166666666666667
"63","ABUR",2012,1,"po4",0
"64","ABUR",2012,1,"tchl",0
"65","ABUR",2012,1,"urea",1
"66","ABUR",2012,5,"ammonia",0.0833333333333333
"67","ABUR",2012,5,"no2_no3",0.166666666666667
"68","ABUR",2012,5,"po4",0
"69","ABUR",2012,5,"tchl",0
"70","ABUR",2012,5,"urea",1
"71","ABUR",2013,1,"ammonia",0.272727272727273
"72","ABUR",2013,1,"no2_no3",0.454545454545455
"73","ABUR",2013,1,"po4",0.272727272727273
"74","ABUR",2013,1,"tchl",0
"75","ABUR",2013,1,"urea",1
"76","ABUR",2013,5,"ammonia",0.0909090909090909
"77","ABUR",2013,5,"no2_no3",0.272727272727273
"78","ABUR",2013,5,"po4",0.181818181818182
"79","ABUR",2013,5,"tchl",0
"80","ABUR",2013,5,"urea",1
"81","ABUR",2014,1,"ammonia",0.166666666666667
"82","ABUR",2014,1,"no2_no3",0.583333333333333
"83","ABUR",2014,1,"po4",0.0833333333333333
"84","ABUR",2014,1,"tchl",0
"85","ABUR",2014,1,"urea",1
"86","ABUR",2014,5,"ammonia",0.0833333333333333
"87","ABUR",2014,5,"no2_no3",0.5
"88","ABUR",2014,5,"po4",0.0833333333333333
"89","ABUR",2014,5,"tchl",0
"90","ABUR",2014,5,"urea",1
"91","ABUR",2015,1,"ammonia",0.333333333333333
"92","ABUR",2015,1,"no2_no3",0.833333333333333
"93","ABUR",2015,1,"po4",0
"94","ABUR",2015,1,"tchl",0
"95","ABUR",2015,1,"urea",1
"96","ABUR",2015,5,"ammonia",0.333333333333333
"97","ABUR",2015,5,"no2_no3",0.75
"98","ABUR",2015,5,"po4",0
"99","ABUR",2015,5,"tchl",0
"100","ABUR",2015,5,"urea",1
"101","ABUR",2016,1,"ammonia",0
"102","ABUR",2016,1,"no2_no3",0.583333333333333
"103","ABUR",2016,1,"po4",0
"104","ABUR",2016,1,"tchl",0
"105","ABUR",2016,1,"urea",0.333333333333333
"106","ABUR",2016,5,"ammonia",0
"107","ABUR",2016,5,"no2_no3",0.25
"108","ABUR",2016,5,"po4",0
"109","ABUR",2016,5,"tchl",0
"110","ABUR",2016,5,"urea",0.333333333333333
"111","ABUR",2017,1,"ammonia",0.333333333333333
"112","ABUR",2017,1,"no2_no3",0.75
"113","ABUR",2017,1,"po4",0.166666666666667
"114","ABUR",2017,1,"tchl",0
"115","ABUR",2017,1,"urea",0
"116","ABUR",2017,5,"ammonia",0.333333333333333
